User,Sequence,TotalFrames,MissingFrames,PctMissing,LongestConsecutiveMissing
User4 (user5),P5_S6_R2,750,0,0.0,0
User4 (user5),P5_S6_R3,750,0,0.0,0
User4 (user5),P5_S6_R4,750,0,0.0,0
User4 (user5),P5_S6_R5,750,0,0.0,0
User4 (user5),P5_S6_R6,750,0,0.0,0
User4 (user5),P5_S7_R1,750,0,0.0,0
User4 (user5),P5_S7_R2,750,2,0.26666666666666666,2
User4 (user5),P5_S7_R3,750,0,0.0,0
User4 (user5),P5_S7_R4,750,0,0.0,0
User4 (user5),P5_S7_R5,750,0,0.0,0
User4 (user5),P5_S7_R6,750,0,0.0,0
User4 (user5),P5_S7_R7,750,0,0.0,0
User4 (user5),P5_S8_R1,750,0,0.0,0
User4 (user5),P5_S8_R2,750,0,0.0,0
User4 (user5),P5_S8_R3,750,0,0.0,0
User4 (user5),P5_S8_R4,750,0,0.0,0
User4 (user5),P5_S8_R5,750,0,0.0,0
User4 (user5),P5_S8_R6,750,0,0.0,0
User4 (user5),P5_S8_R7,750,0,0.0,0
User4 (user5),P5_S9_R1,750,0,0.0,0
User4 (user5),P5_S9_R2,750,2,0.26666666666666666,1
User4 (user5),P5_S9_R3,750,0,0.0,0
User4 (user5),P5_S9_R5,750,0,0.0,0
