User,SeqID,Label,TotalSegments,TotalFrames,TotalMissing,MeanPctMissing,MaxPctMissing,MeanLongestConsec,MaxLongestConsec,OverallPctMissing
User3,S4,TRAIN,5,422,0,0.0,0.0,0.0,0,0.0
User3,S4,background,19,2676,0,0.0,0.0,0.0,0,0.0
User3,S5,BIRD,5,372,0,0.0,0.0,0.0,0,0.0
User3,S5,DRIVER,5,635,0,0.0,0.0,0.0,0,0.0
User3,S5,GREETINGS,5,429,0,0.0,0.0,0.0,0,0.0
User3,S5,WHAT,5,188,0,0.0,0.0,0.0,0,0.0
User3,S5,background,25,2126,0,0.0,0.0,0.0,0,0.0
User3,S6,OUR,3,191,0,0.0,0.0,0.0,0,0.0
User3,S6,TRAIN,3,256,0,0.0,0.0,0.0,0,0.0
User3,S6,WHICH,3,278,0,0.0,0.0,0.0,0,0.0
User3,S6,background,12,1525,0,0.0,0.0,0.0,0,0.0
User3,S7,BIRD,5,473,0,0.0,0.0,0.0,0,0.0
User3,S7,COME,5,283,0,0.0,0.0,0.0,0,0.0
User3,S7,DRIVER,5,660,0,0.0,0.0,0.0,0,0.0
User3,S7,background,20,2334,0,0.0,0.0,0.0,0,0.0
User3,S8,BIG,6,349,0,0.0,0.0,0.0,0,0.0
User3,S8,FARMING,6,505,0,0.0,0.0,0.0,0,0.0
User3,S8,GREETINGS,6,487,0,0.0,0.0,0.0,0,0.0
User3,S8,WHICH,6,506,0,0.0,0.0,0.0,0,0.0
User3,S8,background,30,2653,0,0.0,0.0,0.0,0,0.0
User3,S9,READ,5,524,0,0.0,0.0,0.0,0,0.0
User3,S9,TIGER,5,309,0,0.0,0.0,0.0,0,0.0
User3,S9,VAN,5,388,0,0.0,0.0,0.0,0,0.0
User3,S9,WHAT,5,173,0,0.0,0.0,0.0,0,0.0
User3,S9,background,25,2356,0,0.0,0.0,0.0,0,0.0
User4,S1,COME,8,535,0,0.0,0.0,0.0,0,0.0
User4,S1,GO,8,455,0,0.0,0.0,0.0,0,0.0
User4,S1,OUR,8,378,0,0.0,0.0,0.0,0,0.0
User4,S1,READ,8,802,0,0.0,0.0,0.0,0,0.0
User4,S1,background,40,3830,0,0.0,0.0,0.0,0,0.0
User4,S10,BOAT,6,353,0,0.0,0.0,0.0,0,0.0
User4,S10,FEBRUARY,6,562,0,0.0,0.0,0.0,0,0.0
User4,S10,SMALL,6,401,0,0.0,0.0,0.0,0,0.0
User4,S10,background,24,3184,0,0.0,0.0,0.0,0,0.0
User4,S11,AUGUST,5,645,0,0.0,0.0,0.0,0,0.0
User4,S11,GO,5,271,0,0.0,0.0,0.0,0,0.0
User4,S11,UGLY,5,357,0,0.0,0.0,0.0,0,0.0
User4,S11,WRITE,5,553,0,0.0,0.0,0.0,0,0.0
User4,S11,background,25,1924,0,0.0,0.0,0.0,0,0.0
User4,S2,BIG,8,441,0,0.0,0.0,0.0,0,0.0
User4,S2,FARMING,8,408,0,0.0,0.0,0.0,0,0.0
User4,S2,SMALL,8,627,0,0.0,0.0,0.0,0,0.0
User4,S2,VAN,8,445,0,0.0,0.0,0.0,0,0.0
User4,S2,background,40,4079,0,0.0,0.0,0.0,0,0.0
User4,S3,AUGUST,7,752,0,0.0,0.0,0.0,0,0.0
User4,S3,FEBRUARY,7,646,0,0.0,0.0,0.0,0,0.0
User4,S3,UGLY,7,485,0,0.0,0.0,0.0,0,0.0
User4,S3,WRITE,7,759,0,0.0,0.0,0.0,0,0.0
User4,S3,background,35,2608,0,0.0,0.0,0.0,0,0.0
User4,S4,BOAT,8,516,0,0.0,0.0,0.0,0,0.0
User4,S4,TIGER,8,592,0,0.0,0.0,0.0,0,0.0
User4,S4,TRAIN,8,722,0,0.0,0.0,0.0,0,0.0
User4,S4,background,32,4170,0,0.0,0.0,0.0,0,0.0
User4,S5,DRIVER,6,689,5,0.7383333333333333,3.57,0.5,2,0.73
User4,S5,BIRD,6,351,0,0.0,0.0,0.0,0,0.0
User4,S5,GREETINGS,6,587,0,0.0,0.0,0.0,0,0.0
User4,S5,WHAT,6,222,0,0.0,0.0,0.0,0,0.0
User4,S5,background,30,2651,0,0.0,0.0,0.0,0,0.0
User4,S6,OUR,6,288,0,0.0,0.0,0.0,0,0.0
User4,S6,TRAIN,6,440,0,0.0,0.0,0.0,0,0.0
User4,S6,WHICH,6,491,0,0.0,0.0,0.0,0,0.0
User4,S6,background,24,3281,0,0.0,0.0,0.0,0,0.0
User4,S7,DRIVER,7,838,2,0.22714285714285715,1.59,0.2857142857142857,2,0.24
User4,S7,BIRD,7,534,0,0.0,0.0,0.0,0,0.0
User4,S7,COME,7,486,0,0.0,0.0,0.0,0,0.0
User4,S7,background,28,3392,0,0.0,0.0,0.0,0,0.0
User4,S8,BIG,7,308,0,0.0,0.0,0.0,0,0.0
User4,S8,FARMING,7,395,0,0.0,0.0,0.0,0,0.0
User4,S8,GREETINGS,7,556,0,0.0,0.0,0.0,0,0.0
User4,S8,WHICH,7,494,0,0.0,0.0,0.0,0,0.0
User4,S8,background,35,3497,0,0.0,0.0,0.0,0,0.0
User4,S9,READ,4,364,2,0.5,2.0,0.25,1,0.55
User4,S9,TIGER,4,219,0,0.0,0.0,0.0,0,0.0
User4,S9,VAN,4,226,0,0.0,0.0,0.0,0,0.0
User4,S9,WHAT,4,133,0,0.0,0.0,0.0,0,0.0
User4,S9,background,20,2058,0,0.0,0.0,0.0,0,0.0
