User,Sequence,Left_WristMid,Left_PalmWidth,Left_MiddleBone,Right_WristMid,Right_PalmWidth,Right_MiddleBone
User1 (user1),P1_S6_R4,94.63611679370725,57.876995683662244,65.54656682356654,93.50655647620779,56.88329551239048,64.38235636741108
User1 (user1),P1_S6_R5,98.01282976766306,59.03311260469918,67.57296552646261,94.05818895455351,57.0471716111816,64.99429376266868
User1 (user1),P1_S6_R6,98.46006909754824,59.189864730560494,67.83701951013364,90.81583496377212,55.26284163343952,62.79525870556559
User1 (user1),P1_S7_R1,90.84923097884005,55.46777701105447,63.639076195271485,90.87323274943141,55.59349165216738,62.5378257216707
User1 (user1),P1_S7_R2,91.09943938561608,55.80358375502406,63.72798637914325,90.75166088540094,55.46117034983729,62.537461384168864
User1 (user1),P1_S7_R3,91.00222064876625,55.776368193044355,63.71387210121513,89.96386252388105,55.0898283995773,61.999552621574985
User1 (user1),P1_S7_R4,93.72835645706343,56.38763090940301,64.71163332968786,91.93581553132198,55.77752033694094,63.62407387141742
User1 (user1),P1_S7_R5,93.28425349103603,56.10610901225922,64.43774230563632,92.60095892844038,55.887360371995406,63.98399591209495
User1 (user1),P1_S7_R6,93.98796879383104,56.615129091899654,64.88038736391033,94.80646875083804,57.22306069488288,65.43935480915916
User1 (user1),P1_S8_R1,94.13810450743279,57.868746830595015,65.56598648786544,92.02261691519975,55.82981320455761,63.37457368027372
User1 (user1),P1_S8_R2,93.33507162605576,57.485607739517704,65.0320903830327,89.49932473009113,54.631054977530816,61.51741317115429
User1 (user1),P1_S8_R3,94.0252501874746,57.73346294640652,65.499788221876,92.97378688231908,56.528356054979994,63.88687934708584
User1 (user1),P1_S8_R4,97.67433214540112,58.865252440253116,67.33954327314231,90.69537133116965,55.13929570753439,62.848729704098766
User1 (user1),P1_S8_R5,98.31386941141481,59.19134517132685,67.8432544067083,91.53050927012046,55.686674582314915,63.470842977928406
User1 (user1),P1_S8_R6,98.56671258008946,59.35104816351328,68.00727546020539,88.67403037423244,53.83092234882664,61.36968583371021
User1 (user1),P1_S8_R7,97.98206911050555,59.06088398803018,67.63770983462095,94.33211233463672,57.510890484877685,65.61567519294435
User1 (user1),P1_S9_R1,94.76767551248163,57.8313025431692,65.77824431687336,92.56668844519159,56.29270957882403,63.76692898232624
User1 (user1),P1_S9_R2,94.47394538369929,57.89484336138923,65.64418838325126,92.62245316989029,56.51702484402428,63.75516413776905
User1 (user1),P1_S9_R3,94.44575379521096,57.760423801857705,65.63038045467766,90.66793921656657,55.27725098650158,62.49268928517123
User1 (user1),P1_S9_R4,94.51900041162803,57.732501202052674,65.37094228060717,93.04240470708112,56.69212751710848,64.16195755203385
User1 (user1),P1_S9_R5,96.82640200203214,58.6452561247928,66.80660781261693,94.47963911965495,57.27018538259495,65.3172482370892
User1 (user1),P1_S9_R6,97.6397834769969,59.03158400657575,67.3480936163627,93.97959437511645,57.043861492456585,64.88112686875795
User1 (user1),P1_S9_R7,96.50587698736565,58.43800616946025,66.63959167403085,94.5914227302175,57.25227893705646,65.37553783321998
User2 (user2),P2_S10_R1,85.88716032363428,51.89450270578215,59.25912195856879,85.79556346691602,52.67601322153764,59.57633063044741
User2 (user2),P2_S10_R2,86.02132717017271,51.99613794886056,59.364832275650635,86.5585612983308,52.81797611617611,59.956407535037044
User2 (user2),P2_S10_R3,85.83276921199915,51.64816830467513,59.27501575471327,84.84966037015101,52.08654564593954,58.89563471482192
User2 (user2),P2_S10_R4,86.33135721123125,52.07076930780626,59.64134745325521,86.31674348098629,52.854852369493386,59.90275703953191
User2 (user2),P2_S10_R5,85.97101842303475,51.79756752160907,59.49120641181774,87.81805346999752,53.24466569992223,60.684828760751095
User2 (user2),P2_S10_R6,85.3892918408998,51.58981968216302,59.22267566295237,88.28954328149611,53.351424100584765,61.04565607162233
User2 (user2),P2_S11_R1,87.30166170355031,52.808177209016954,60.70953102580191,87.30804240145098,52.947390318279325,60.29315128920414
User2 (user2),P2_S11_R2,86.17622233860958,52.043426418055624,59.86934610273846,86.46647167392901,52.401103888071454,59.66411281087308
User2 (user2),P2_S11_R3,86.85129403619668,52.447917575200265,60.29352560511503,86.45840042635974,52.36184176605287,59.62929911101498
User2 (user2),P2_S11_R4,85.90928221041827,51.596717631584255,59.668759401534885,87.32817982734349,53.042011707890154,60.29606293694346
User2 (user2),P2_S11_R5,85.9032113179115,51.51995393323555,59.62322672625276,87.4779127432371,53.150563048933016,60.432934272778155
User2 (user2),P2_S11_R6,85.27321635699187,51.318390171917855,59.21100174836436,87.33635975506921,53.07555524928323,60.44335096113255
User2 (user2),P2_S1_R1,86.50118691235328,52.38925151036954,59.8410973279074,85.46545939466395,52.14770576622923,59.152840592793225
User2 (user2),P2_S1_R2,84.72388770237225,51.390257623277485,58.76148172225499,84.18261854168617,51.49108452672191,58.23878605426737
User2 (user2),P2_S1_R3,86.01535672368937,52.062814492122705,59.30424775094745,85.13267522656368,51.74558654851316,58.94524188214436
User2 (user2),P2_S1_R4,85.97476192680891,52.06734240863152,59.27260173757199,83.29480378705962,50.86948317811907,57.69300856526298
User2 (user2),P2_S1_R5,84.00336438632962,50.65629960361347,58.21807062016271,88.4564949943155,53.352842347844806,61.35996791870574
User2 (user2),P2_S1_R6,84.95640221639678,51.15432115839687,58.864501308016195,88.62161994661092,53.5979674558602,61.415478624657915
User2 (user2),P2_S1_R7,85.54525334355408,51.380239209281164,59.247179148485856,87.9158107604975,53.1337219503425,60.832074082785816
